keys,zh_CN,en
HUD_CLOCK,"第 %d 天 · %02d:%02d","Day %d · %02d:%02d"
HUD_CURRENT_OBJECTIVE,"当前目标","CURRENT OBJECTIVE"
OBJECTIVE_GREET_MIRA,"找到米拉，用英语问候，或用手势确认善意","Find Mira and greet her in English, or use a friendly gesture"
OBJECTIVE_GATHER_FOOD,"在聚落边缘收集食物（%d/2）","Gather food around the settlement (%d/2)"
OBJECTIVE_SLEEP_DAY_ONE,"回到庇护所休息，结束第一天","Return to your shelter and end the first day"
OBJECTIVE_GATHER_SCRAP,"收集加热器零件（%d/2）","Gather heater parts (%d/2)"
OBJECTIVE_REPAIR_HEATER,"在加热器旁完成修理","Repair the heater"
OBJECTIVE_SLEEP_DAY_TWO,"回到庇护所休息，结束第二天","Return to your shelter and end the second day"
OBJECTIVE_FETCH_WATER,"从蓄水器取水","Collect water from the reservoir"
OBJECTIVE_HELP_ROWAN,"把水带给罗文，并表达你的帮助意图","Bring the water to Rowan and offer your help"
OBJECTIVE_COMPLETE,"纵向切片完成：你在异乡有了第一个立足点","Vertical slice complete: you found your first foothold"
OBJECTIVE_EXPLORE,"继续探索聚落","Keep exploring the settlement"
NEED_FOOD,"食物","Food"
NEED_WARMTH,"温暖","Warmth"
NEED_ENERGY,"精力","Energy"
NEED_STABLE,"稳定","Stable"
NEED_CAUTION,"注意","Caution"
NEED_CRITICAL,"紧急","Critical"
NEED_FORMAT,"%s %d%% · %s","%s %d%% · %s"
PROMPT_TALK_HOLD,"按住说英语","Hold to speak English"
PROMPT_TALK_TOGGLE,"开始 / 发送英语","Start / send English"
PROMPT_NPC,"%s\n[%s] %s · [%s] 手势 · [%s] 观察","%s\n[%s] %s · [%s] Gesture · [%s] Observe"
PROMPT_OBJECT,"%s · [%s] 互动","%s · [%s] Interact"
MSG_BERRY_FOUND,"找到可食用的蓝莓果。","Found an edible duskberry."
MSG_SCRAP_FOUND,"捡到一块还能用的合金零件。","Found a usable alloy part."
MSG_WATER_FILLED,"装满了一壶水。","Filled a canteen with water."
MSG_HEATER_REPAIRED,"加热器恢复运转，庇护所暖了起来。","The heater is running again. The shelter feels warmer."
MSG_HEATER_NEEDS_SCRAP,"需要两块合金零件。","Two alloy parts are required."
MSG_HEATER_NOT_TODAY,"今晚先活下来。加热器明天再修。","Survive tonight first. The heater can wait until tomorrow."
MSG_HEATER_ALREADY,"加热器已经在运转。","The heater is already running."
MSG_NPC_REMEMBERS,"他们记得你。","They remember you."
MSG_NPC_WARY,"他们谨慎地打量着这位异乡人。","They study the stranger with care."
